VCD info: dumpfile waveform.vcd opened for output.
time	clock	reset	enable	counter_out
0	1	0	0	xxxx
5	0	1	0	xxxx
10	1	1	0	xxxx
11	1	1	0	0000
15	0	0	0	0000
20	1	0	0	0000
25	0	0	1	0000
30	1	0	1	0000
31	1	0	1	0001
35	0	0	1	0001
40	1	0	1	0001
41	1	0	1	0010
45	0	0	1	0010
50	1	0	1	0010
51	1	0	1	0011
55	0	0	1	0011
60	1	0	1	0011
61	1	0	1	0100
65	0	0	1	0100
70	1	0	1	0100
71	1	0	1	0101
75	0	0	1	0101
80	1	0	1	0101
81	1	0	1	0110
85	0	0	1	0110
90	1	0	1	0110
91	1	0	1	0111
95	0	0	1	0111
100	1	0	1	0111
101	1	0	1	1000
105	0	0	1	1000
110	1	0	1	1000
111	1	0	1	1001
115	0	0	1	1001
120	1	0	1	1001
121	1	0	1	1010
125	0	0	0	1010
130	1	0	0	1010
VCD info: dumpfile waveform.vcd opened for output.
time	clock	reset	enable	counter_out
0	1	0	0	xxxx
5	0	1	0	xxxx
10	1	1	0	xxxx
11	1	1	0	0000
15	0	0	0	0000
20	1	0	0	0000
25	0	0	1	0000
30	1	0	1	0000
31	1	0	1	0001
35	0	0	1	0001
40	1	0	1	0001
41	1	0	1	0010
45	0	0	1	0010
50	1	0	1	0010
51	1	0	1	0011
55	0	0	1	0011
60	1	0	1	0011
61	1	0	1	0100
65	0	0	1	0100
70	1	0	1	0100
71	1	0	1	0101
75	0	0	1	0101
80	1	0	1	0101
81	1	0	1	0110
85	0	0	1	0110
90	1	0	1	0110
91	1	0	1	0111
95	0	0	1	0111
100	1	0	1	0111
101	1	0	1	1000
105	0	0	1	1000
110	1	0	1	1000
111	1	0	1	1001
115	0	0	1	1001
120	1	0	1	1001
121	1	0	1	1010
125	0	0	1	1010
130	1	0	1	1010
131	1	0	1	1011
135	0	0	1	1011
140	1	0	1	1011
141	1	0	1	1100
145	0	0	1	1100
150	1	0	1	1100
151	1	0	1	1101
155	0	0	1	1101
160	1	0	1	1101
161	1	0	1	1110
165	0	0	1	1110
170	1	0	1	1110
171	1	0	1	1111
175	0	0	1	1111
180	1	0	1	1111
181	1	0	1	0000
185	0	0	1	0000
190	1	0	1	0000
191	1	0	1	0001
195	0	0	1	0001
200	1	0	1	0001
201	1	0	1	0010
205	0	0	1	0010
210	1	0	1	0010
211	1	0	1	0011
215	0	0	1	0011
220	1	0	1	0011
221	1	0	1	0100
225	0	0	0	0100
230	1	0	0	0100
